[setCountry, getClass, getCountry, getDeveloper, getTags, setItemCondition, setUserRecordType, setYourPrice, setNotes, setCreatedAt, getCreatedAt, getUserRecordType, getTitle, setCategory, getGame, getPriceCIB, getParameter, getBoxCondition, setPlatform, getReleaseType, getItemCondition, getCategory, setTitle, getManualCondition, getOwnership, getPriceLoose, setPublisher, getPriceNew, wait, notifyAll, getPricePaid, setTags, notify, getNotes, hashCode, setManualCondition, getGameExact, setPriceCIB, getYourPrice, setReleaseType, setOwnership, setPriceNew, getPublisher, setPriceLoose, equals, getParameters, setPricePaid, setDeveloper, toString, setBoxCondition, getPlatform]
"Sony PlayStation 5","Games","Owned","Dead Space","United States of America","Official","Electronic Arts","Motive Studios","Jun 20 2023","CIB","32.51","35.57","42.6","35.57","-1.0","10","10","10","",""
"Microsoft Xbox","Games","Owned","Defender","United States of America","Official","Midway Games","Missing Field","Jan 16 2022","CIB","8.19","8.78","34.45","8.78","-1.0","10","10","10","",""
"Sega Dreamcast","Games","Owned","Demolition Racer: No Exit","United States of America","Official","Infogrames","Pitbull Syndicate","Jan 30 2022","CIB","10.97","14.5","20.48","14.5","-1.0","10","10","10","",""
"Sony PlayStation 3","Games","Owned","Demon's Souls","United States of America","Official","Atlus Co. Ltd.","FromSoftware Inc.","Mar 6 2024","CIB","12.47","19","168","19","-1.0","10","10","10","",""
"Sony PlayStation 3","Games","Owned","Demon's Souls","United States of America","Official","Atlus Co. Ltd.","FromSoftware Inc.","Mar 6 2024","CIB","12.47","19","168","19","-1.0","10","10","10","",""
"Sony PlayStation 5","Games","Owned","Demon's Souls","United States of America","Official","Sony Interactive Entertainment","Bluepoint Games","Jan 25 2022","CIB","25.07","29.28","34.61","29.28","-1.0","10","10","10","",""
"Sony PlayStation","Games","Owned","Destruction Derby 2","United States of America","Official","Psygnosis Limited","Reflections Interactive","Jan 31 2022","CIB","9.48","11.87","40.5","11.87","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Devil May Cry","United States of America","Official","Capcom","Capcom","Jan 18 2022","CIB","6.75","9.61","36.36","9.61","-1.0","10","10","10","",""
"Sony PlayStation 2","Games","Owned","Devil May Cry 2","United States of America","Official","Capcom","Capcom","Jan 17 2022","CIB","6.76","8.21","30.2","8.21","-1.0","10","10","10","",""
"Sega Dreamcast","Games","Owned","Dino Crisis","United States of America","Official","Capcom","Capcom","Jan 25 2022","CIB","62.72","94.72","168.79","94.72","-1.0","10","10","10","",""
"Microsoft Xbox One","Games","Owned","Dishonored 2","United States of America","Official","Bethesda Softworks","Arkane Studios SA","Jan 25 2022","CIB","3.58","5.42","7.2","5.42","-1.0","10","10","10","",""
"Microsoft Xbox One","Games","Owned","Dishonored: Death of the Outsider","United States of America","Official","Bethesda Softworks","Arkane Studios SA","Jan 25 2022","CIB","7.8","9.68","11.34","9.68","-1.0","10","10","10","",""
"Nintendo Wii","Games","Owned","Disney Epic Mickey 2: The Power of Two","United States of America","Official","Disney Interactive","Junction Point Studios","Jan 16 2022","CIB","5.64","6.4","15.13","6.4","-1.0","10","10","10","",""
"Nintendo GameCube","Games","Owned","Disney's Tarzan Untamed","United States of America","Official","Ubisoft Entertainment","Ubisoft Montreal","Jan 17 2022","CIB","9.16","10.5","48.43","10.5","-1.0","10","10","10","",""
"Sony PlayStation 3","Games","Owned","Disney/Pixar Toy Story 3","United States of America","Official","Disney Interactive","Avalanche Software LLC","Jan 25 2022","CIB","12.99","15.31","40.75","15.31","-1.0","10","10","10","",""
"Microsoft Xbox 360","Games","Owned","Disney/Pixar WALL-E","United States of America","Official","THQ","Heavy Iron Studios","Jan 16 2022","CIB","9.69","13.49","23.5","13.49","-1.0","10","10","10","",""
"Skylanders","ToysToLife","Owned","Dive Bomber - SuperChargers","","Official","Activision","Missing Field","Feb 8 2022","New","7.89","?","8.77","8.77","-1.0","?","10","?","",""
"Skylanders","ToysToLife","Owned","Dive Clops - SuperChargers Missile Tow","","Official","Activision","Missing Field","Feb 8 2022","New","7.49","?","7.61","7.61","-1.0","?","10","?","",""
